County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Payne,Oklahoma,77350,1792,3031273.67
Pottawatomie,Oklahoma,69442,2048,1305653.77
Tulsa,Oklahoma,603403,1501,10598357.22
Roger Mills,Oklahoma,3647,2979,979528.93
Love,Oklahoma,9423,1395,275675.12
Woods,Oklahoma,8878,3344,4291639.81
Logan,Oklahoma,41848,1941,1951788.51
Lycoming,Pennsylvania,116111,3221,10217876.15
Montgomery,Pennsylvania,799874,1262,13757858.4
Fayette,Pennsylvania,136606,2066,5264867.22
Somerset,Pennsylvania,77742,2796,7689250.27
Venango,Pennsylvania,54984,1777,5083339.61
Centre,Pennsylvania,153990,2882,7452027.45
Wayne,Pennsylvania,52822,1955,2779668
Carbon,Pennsylvania,65249,1012,1296797.86
Erie,Pennsylvania,280566,2089,8460030.05
Lyman,South Dakota,3755,4444,9040343.56
Tripp,South Dakota,5644,4194,9304460.69
Charles Mix,South Dakota,9129,2984,10663183.83
Bon Homme,South Dakota,7070,1507,3821968.19
Cumberland,Tennessee,56053,1774,3345026.34
Putnam,Tennessee,72321,1038,4994987.49
Scott,Tennessee,22228,1394,4509421.09
Bledsoe,Tennessee,12876,1052,2100735.1
Grundy,Tennessee,13703,935,6815729.46
White,Tennessee,25841,982,7016593.25
Carter,Tennessee,57424,909,1701547.28
Jackson,Tennessee,11638,829,1127659.27
Hawkins,Tennessee,56833,1296,1554250.55
Morgan,Tennessee,21987,1353,2273002.21
Moore,Tennessee,6362,328,339884.1
Rutherford,Tennessee,262604,1617,5216027.74
Union,Tennessee,19109,640,608830.09
Sevier,Tennessee,89889,1547,1502577.59
Hancock,Tennessee,6819,583,393624.44
Meigs,Tennessee,11753,561,495851.35
Jefferson,Tennessee,51407,812,1516706.57
Dickson,Tennessee,49666,1270,5383385.18
Greene,Tennessee,68831,1617,2415972.88
Hamilton,Tennessee,336463,1490,7215064.35
