County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Ross,Ohio,78064,1794,845461903.4
Gonzales,Texas,19807,2776,3653469412
Red River,Texas,12860,2747,3658960978
Duval,Texas,11782,4655,7527109058
San Jacinto,Texas,26384,1621,1234899216
Franklin,Texas,10605,761,763362798.4
Tyler,Texas,21766,2439,1491265323
Walker,Texas,67861,2058,2042567003
Rains,Texas,10914,675,806365611.2
Goliad,Texas,7210,2227,3622457953
Guadalupe,Texas,131533,1861,2302790590
Karnes,Texas,14824,1964,2818677327
Wilson,Texas,42918,2087,3098615621
Montgomery,Texas,455746,2826,2489329273
Kleberg,Texas,32061,2451,3409364074
Wichita,Texas,131500,1643,2441131978
Rusk,Texas,53330,2426,1362422844
Edwards,Texas,2002,5471,2523693711
Lincoln,New Mexico,20497,12474,8704052775
Saratoga,New York,219607,2168,195367903.9
Wilkin,Minnesota,6576,1940,2728481817
Lawrence,South Dakota,24097,2075,171076175.5
Carroll,Ohio,28836,1035,54744169.18
Muskingum,Ohio,86074,1743,107365747.2
Stark,Ohio,375586,1503,614187426.2
Pike,Ohio,28709,1148,225094679.2
Highland,Ohio,43589,1446,1212902682
Arthur,Nebraska,460,1867,665654979.5
Polk,Oregon,75403,1929,613923186
Jackson,Oregon,203206,7244,725276259
Beaufort,North Carolina,47759,2124,2521279531
Carteret,North Carolina,66469,1362,793769594.7
Thomas,Nebraska,647,1841,1370831765
Sandoval,New Mexico,131561,9626,4085272475
Ontario,New York,107931,1718,846965815.2
Broome,New York,200600,1855,26317626.1
Chenango,New York,50477,2338,149246796
Iredell,North Carolina,159437,1530,520944890.2
Craven,North Carolina,103505,1817,1647735828
Mecklenburg,North Carolina,919628,1439,308994958.3
Alamance,North Carolina,151131,1104,903527523
Cumberland,North Carolina,319431,1683,1512344977
Bladen,North Carolina,35190,2282,2600148418
Wake,North Carolina,900993,2217,1041886397
Bertie,North Carolina,21282,1824,2189866620
Camden,North Carolina,9980,619,591236661.4
Martin,North Carolina,24505,1209,1443267563
Currituck,North Carolina,23547,682,622694648.1
Pasquotank,North Carolina,40661,588,670904096.6
Perquimans,North Carolina,13453,641,914624404.7
Tyrrell,North Carolina,4407,1018,636887889.9
Hyde,North Carolina,5810,1778,790755870
Halifax,North Carolina,54691,1916,2076231003
Anson,North Carolina,26948,1382,958229608.7
Northampton,North Carolina,22099,1420,1899368092
Nash,North Carolina,95840,1413,1539831407
New Hanover,North Carolina,202667,485,164307081.6
Lenoir,North Carolina,59495,1049,1300979575
Hertford,North Carolina,24669,929,1332686929
Pender,North Carolina,52217,2245,1959585951
Onslow,North Carolina,177772,1950,1983041495
Pitt,North Carolina,168148,1696,2076133410
Davidson,North Carolina,162878,1480,908774359.6
Wilson,North Carolina,81234,981,1109529088
Duplin,North Carolina,58505,2123,2629705291
Hoke,North Carolina,46952,1018,924853415.3
Caldwell,North Carolina,83029,1225,25756080.02
Rutherford,North Carolina,67810,1471,111218011.8
Stark,North Dakota,24199,3476,3023221869
Logan,North Dakota,1990,2616,2738112368
Pembina,North Dakota,7413,2909,4359672607
Walsh,North Dakota,11119,3363,4822534419
Burleigh,North Dakota,81308,4318,4414329839
Butler,Ohio,368130,1217,528696102.1
Licking,Ohio,166492,1779,1107840723
Lorain,Ohio,301356,1282,1088175107
Ashland,Ohio,53139,1103,781242532.5
Cuyahoga,Ohio,1280122,1197,33838296.64
Wayne,Ohio,114520,1442,1049671554
Coshocton,Ohio,36901,1469,138463925.4
Fairfield,Ohio,146156,1317,958097390.9
Noble,Ohio,14645,1047,11945656.64
Tuscarawas,Ohio,92582,1479,141390616.9
Washington,Ohio,61778,1665,23224507.72
Belmont,Ohio,70400,1408,10747690.64
Columbiana,Ohio,107841,1386,250598082.3
Scioto,Ohio,79499,1603,187420220
Jefferson,Ohio,69709,1068,3477526.96
Lake,Ohio,230041,600,209042154.9
Portage,Ohio,161419,1306,1057263370
Richland,Ohio,124475,1297,847260917.6
Wood,Ohio,125488,1610,1995736376
Haskell,Oklahoma,12769,1615,1237370778
Woodward,Oklahoma,20081,3228,3766580072
Caddo,Oklahoma,29600,3312,2918154271
Canadian,Oklahoma,115541,2330,3012461045
Washita,Oklahoma,11629,2615,3486377592
Comanche,Oklahoma,124098,2798,3197480807
Custer,Oklahoma,27469,2589,2161963396
Ellis,Oklahoma,4151,3208,3505883182
Harper,Oklahoma,3685,2699,3102203286
Kay,Oklahoma,46562,2451,3236150962
Osage,Oklahoma,47472,5997,3405702765
Okmulgee,Oklahoma,40069,1831,1953005184
Garvin,Oklahoma,27576,2103,2135548918
Grady,Oklahoma,52431,2860,2367299907
Jefferson,Oklahoma,6472,2023,3022539696
Murray,Oklahoma,13488,1092,903723581.1
Cleveland,Oklahoma,255755,1436,882069146.3
Pawnee,Oklahoma,16577,1542,1039255074
Payne,Oklahoma,77350,1792,1501527623
Pottawatomie,Oklahoma,69442,2048,1610256654
Tulsa,Oklahoma,603403,1501,1106396234
Roger Mills,Oklahoma,3647,2979,2011745770
Love,Oklahoma,9423,1395,1422143882
Woods,Oklahoma,8878,3344,3949646771
Logan,Oklahoma,41848,1941,1637766286
Lycoming,Pennsylvania,116111,3221,172958676.4
Montgomery,Pennsylvania,799874,1262,180329190.1
Fayette,Pennsylvania,136606,2066,19628885.96
Somerset,Pennsylvania,77742,2796,131774564.9
Venango,Pennsylvania,54984,1777,219184810.1
Centre,Pennsylvania,153990,2882,188066465
Wayne,Pennsylvania,52822,1955,13889986.94
Carbon,Pennsylvania,65249,1012,80856383.26
Erie,Pennsylvania,280566,2089,1076868823
Lyman,South Dakota,3755,4444,3369714726
Tripp,South Dakota,5644,4194,4022530861
Charles Mix,South Dakota,9129,2984,3329117009
Bon Homme,South Dakota,7070,1507,2007564316
Cumberland,Tennessee,56053,1774,457855102.3
Putnam,Tennessee,72321,1038,265947311.8
Scott,Tennessee,22228,1394,67233769.48
Bledsoe,Tennessee,12876,1052,271717503.7
Grundy,Tennessee,13703,935,516043336.9
White,Tennessee,25841,982,391737038.2
Carter,Tennessee,57424,909,9576850.26
Jackson,Tennessee,11638,829,38612913.7
Hawkins,Tennessee,56833,1296,112974924.7
Morgan,Tennessee,21987,1353,127128171.2
Moore,Tennessee,6362,328,83105487.48
Rutherford,Tennessee,262604,1617,1308354836
Union,Tennessee,19109,640,8415605.94
Sevier,Tennessee,89889,1547,67463683.9
Hancock,Tennessee,6819,583,0
Meigs,Tennessee,11753,561,190129843.6
Jefferson,Tennessee,51407,812,150306755.3
Dickson,Tennessee,49666,1270,199134427.2
Greene,Tennessee,68831,1617,302483654.2
Hamilton,Tennessee,336463,1490,231385069
Warren,Tennessee,39839,1123,878290840.7
Lincoln,Tennessee,33361,1481,759880344
Wayne,Tennessee,17021,1907,400601975.5
Perry,Tennessee,7915,1092,83978457.28
Milam,Texas,24757,2658,3423468460
Nueces,Texas,340223,2238,3161165973
Pecos,Texas,15507,12405,14560687601
Bee,Texas,31861,2310,3602216823
Kenedy,Texas,416,3759,6004638993
Matagorda,Texas,36702,3047,3321606493
Shelby,Texas,25448,2161,1253691237
Wise,Texas,59127,2400,2166924823
Kaufman,Texas,103350,2100,3062014180
Jeff Davis,Texas,2342,5919,3507328814
Presidio,Texas,7818,9972,6879592538
Hopkins,Texas,35161,2037,2657336118
Harrison,Texas,65631,2372,1870809666
